municipio,year,week,cases
angra dos reis,2010,1,9
aperibe,2010,1,0
araruama,2010,1,0
areal,2010,1,0
armacao dos buzios,2010,1,0
arraial do cabo,2010,1,0
barra do pirai,2010,1,1
barra mansa,2010,1,3
belford roxo,2010,1,2
bom jardim,2010,1,0
bom jesus do itabapoana,2010,1,0
cabo frio,2010,1,0
cachoeiras de macacu,2010,1,0
cambuci,2010,1,0
carapebus,2010,1,0
comendador levy gasparian,2010,1,1
campos dos goytacazes,2010,1,29
cantagalo,2010,1,0
cardoso moreira,2010,1,0
carmo,2010,1,1
casimiro de abreu,2010,1,102
conceicao de macabu,2010,1,0
cordeiro,2010,1,0
duas barras,2010,1,0
duque de caxias,2010,1,4
engenheiro paulo de frontin,2010,1,0
guapimirim,2010,1,0
iguaba grande,2010,1,0
itaborai,2010,1,5
itaguai,2010,1,9
italva,2010,1,0
itaocara,2010,1,0
itaperuna,2010,1,6
itatiaia,2010,1,0
japeri,2010,1,0
laje do muriae,2010,1,0
macae,2010,1,27
macuco,2010,1,0
mage,2010,1,0
mangaratiba,2010,1,0
marica,2010,1,3
mendes,2010,1,0
mesquita,2010,1,1
miguel pereira,2010,1,0
miracema,2010,1,0
natividade,2010,1,4
nilopolis,2010,1,0
niteroi,2010,1,5
nova friburgo,2010,1,2
nova iguacu,2010,1,8
paracambi,2010,1,0
paraiba do sul,2010,1,0
paraty,2010,1,3
paty do alferes,2010,1,0
petropolis,2010,1,6
pinheiral,2010,1,0
pirai,2010,1,2
porciuncula,2010,1,133
porto real,2010,1,0
quatis,2010,1,0
queimados,2010,1,0
quissama,2010,1,1
resende,2010,1,1
rio bonito,2010,1,5
rio claro,2010,1,0
rio das flores,2010,1,0
rio das ostras,2010,1,1
rio de janeiro,2010,1,30
santa maria madalena,2010,1,0
santo antonio de padua,2010,1,0
sao francisco de itabapoana,2010,1,0
sao fidelis,2010,1,0
sao goncalo,2010,1,6
sao joao da barra,2010,1,0
sao joao de meriti,2010,1,2
sao jose de uba,2010,1,0
sao jose do vale do rio preto,2010,1,0
sao pedro da aldeia,2010,1,0
sao sebastiao do alto,2010,1,0
sapucaia,2010,1,0
saquarema,2010,1,0
seropedica,2010,1,0
silva jardim,2010,1,0
sumidouro,2010,1,0
tangua,2010,1,6
teresopolis,2010,1,0
trajano de moraes,2010,1,0
tres rios,2010,1,1
valenca,2010,1,0
varre-sai,2010,1,0
vassouras,2010,1,1
volta redonda,2010,1,5
angra dos reis,2010,2,8
aperibe,2010,2,0
araruama,2010,2,0
areal,2010,2,0
armacao dos buzios,2010,2,0
arraial do cabo,2010,2,1
barra do pirai,2010,2,0
barra mansa,2010,2,4
belford roxo,2010,2,6
bom jardim,2010,2,0
bom jesus do itabapoana,2010,2,1
cabo frio,2010,2,1
cachoeiras de macacu,2010,2,1
cambuci,2010,2,0
carapebus,2010,2,0
comendador levy gasparian,2010,2,0
campos dos goytacazes,2010,2,40
cantagalo,2010,2,0
cardoso moreira,2010,2,0
carmo,2010,2,0
casimiro de abreu,2010,2,60
conceicao de macabu,2010,2,0
cordeiro,2010,2,1
duas barras,2010,2,0
duque de caxias,2010,2,5
engenheiro paulo de frontin,2010,2,1
guapimirim,2010,2,0
iguaba grande,2010,2,0
itaborai,2010,2,5
itaguai,2010,2,18
italva,2010,2,1
itaocara,2010,2,0
