municipio,year,week,cases,humidity,idhm,population,rainfall,temperature
angra dos reis,2010,1,9,65.79121,0.724,207044,66.355681,28.1648348571
angra dos reis,2010,2,8,66.6923094286,0.724,207044,70.15296399999998,27.5467032857
angra dos reis,2010,3,4,72.6895614286,0.724,207044,72.5633344,26.161401
angra dos reis,2010,4,10,73.1868128571,0.724,207044,63.74666760000001,25.7378338571
angra dos reis,2010,5,7,60.1801404286,0.724,207044,57.978151,28.7528781429
angra dos reis,2010,6,10,59.8235695714,0.724,207044,62.57419900000002,28.249667
angra dos reis,2010,7,16,68.7278558571,0.724,207044,62.49308700000002,26.6606722857
angra dos reis,2010,8,19,72.8672162857,0.724,207044,41.32419900000001,25.6501832857
angra dos reis,2010,9,43,84.8571428571,0.724,207044,74.01617299999998,21.8131865714
angra dos reis,2010,10,35,56.6336997143,0.724,207044,59.015679,28.0979852857
angra dos reis,2010,11,64,68.8452377143,0.724,207044,58.4385186,26.25
angra dos reis,2010,12,61,66.784014,0.724,207044,69.3466662,27.535714
angra dos reis,2010,13,65,69.8863622857,0.724,207044,40.8661732,26.2965368571
angra dos reis,2010,14,48,78.8831165714,0.724,207044,35.786543800000004,20.8701297143
angra dos reis,2010,15,52,62.498268,0.724,207044,29.450986599999997,23.7997837143
angra dos reis,2010,16,57,62.048052,0.724,207044,29.392962599999997,25.9818182857
angra dos reis,2010,17,59,65.4393928571,0.724,207044,26.9912346,24.7348485714
angra dos reis,2010,18,97,63.8162342857,0.724,207044,21.0449386,24.4980517143
angra dos reis,2010,19,100,68.0878428571,0.724,207044,20.9990122,20.0376082857
angra dos reis,2010,20,93,71.2935071429,0.724,207044,19.7095061,20.4021648571
angra dos reis,2010,21,76,70.7405322857,0.724,207044,18.000370500000002,21.4395394286
angra dos reis,2010,22,75,69.6939145714,0.724,207044,14.3525928,20.1149988571
angra dos reis,2010,23,65,73.1499433333,0.724,207044,13.5587654,16.8592461667
angra dos reis,2010,24,37,59.6625047143,0.724,207044,9.3108638,19.6591742857
angra dos reis,2010,25,41,65.5600648571,0.724,207044,13.1280254,20.7321428571
angra dos reis,2010,26,44,62.3376614286,0.724,207044,11.674197799999998,19.5844154286
angra dos reis,2010,27,42,63.1402602857,0.724,207044,10.9509875,20.1848487143
angra dos reis,2010,28,27,75.9951311429,0.724,207044,13.153949900000002,20.4590911429
angra dos reis,2010,29,16,63.6531671667,0.724,207044,15.6360494,22.83436
angra dos reis,2010,30,11,53.2052836667,0.724,207044,13.6703706,22.687024
angra dos reis,2010,31,13,65.16963,0.724,207044,12.548148200000002,19.9254742857
angra dos reis,2010,32,12,60.809524,0.724,207044,11.1395062,20.6173161429
angra dos reis,2010,33,9,54.4922074286,0.724,207044,11.502963,18.0701298571
angra dos reis,2010,34,8,43.1703157143,0.724,207044,13.820247,24.8163575714
angra dos reis,2010,35,11,43.5822508571,0.724,207044,18.0416045,25.8409088571
angra dos reis,2010,36,6,63.18961,0.724,207044,22.695184899999997,21.4571425714
angra dos reis,2010,37,2,53.2886147143,0.724,207044,23.1976549,24.131018
angra dos reis,2010,38,1,61.8373008571,0.724,207044,31.959135099999997,23.3976191429
angra dos reis,2010,39,0,76.1574493333,0.724,207044,35.359381600000006,23.0497473333
angra dos reis,2010,40,2,67.6883267143,0.724,207044,37.946048000000005,22.492008
