municipio,year,week,humidity
angra dos reis,2010,1,65.79121
angra dos reis,2010,2,66.6923094286
angra dos reis,2010,3,72.6895614286
angra dos reis,2010,4,73.1868128571
angra dos reis,2010,5,60.1801404286
angra dos reis,2010,6,59.8235695714
angra dos reis,2010,7,68.7278558571
angra dos reis,2010,8,72.8672162857
angra dos reis,2010,9,84.8571428571
angra dos reis,2010,10,56.6336997143
angra dos reis,2010,11,68.8452377143
angra dos reis,2010,12,66.784014
angra dos reis,2010,13,69.8863622857
angra dos reis,2010,14,78.8831165714
angra dos reis,2010,15,62.498268
angra dos reis,2010,16,62.048052
angra dos reis,2010,17,65.4393928571
angra dos reis,2010,18,63.8162342857
angra dos reis,2010,19,68.0878428571
angra dos reis,2010,20,71.2935071429
angra dos reis,2010,21,70.7405322857
angra dos reis,2010,22,69.6939145714
angra dos reis,2010,23,73.1499433333
angra dos reis,2010,24,59.6625047143
angra dos reis,2010,25,65.5600648571
angra dos reis,2010,26,62.3376614286
angra dos reis,2010,27,63.1402602857
angra dos reis,2010,28,75.9951311429
angra dos reis,2010,29,63.6531671667
angra dos reis,2010,30,53.2052836667
angra dos reis,2010,31,65.16963
angra dos reis,2010,32,60.809524
angra dos reis,2010,33,54.4922074286
angra dos reis,2010,34,43.1703157143
angra dos reis,2010,35,43.5822508571
angra dos reis,2010,36,63.18961
angra dos reis,2010,37,53.2886147143
angra dos reis,2010,38,61.8373008571
angra dos reis,2010,39,76.1574493333
angra dos reis,2010,40,67.6883267143
angra dos reis,2010,41,62.3076924286
angra dos reis,2010,42,65.2807197143
angra dos reis,2010,43,62.9715287143
angra dos reis,2010,44,65.7734421429
angra dos reis,2010,45,67.9146512857
angra dos reis,2010,46,69.3275762857
angra dos reis,2010,47,65.6978024286
angra dos reis,2010,48,65.2308562857
angra dos reis,2010,49,67.4527471429
angra dos reis,2010,50,70.5183158571
angra dos reis,2010,51,67.8023658571
angra dos reis,2010,52,70.9972524286
angra dos reis,2011,1,74.040292
angra dos reis,2011,2,69.7362628571
angra dos reis,2011,3,68.3516485714
angra dos reis,2011,4,56.5934067143
angra dos reis,2011,5,65.5054932857
angra dos reis,2011,6,53.9010985714
angra dos reis,2011,7,68.1554812857
angra dos reis,2011,8,65.236886
angra dos reis,2011,9,82.4835182857
angra dos reis,2011,10,76.7289354286
angra dos reis,2011,11,75.5528651429
angra dos reis,2011,12,68.6037418571
angra dos reis,2011,13,73.1346145714
angra dos reis,2011,14,75.2357131429
angra dos reis,2011,15,64.2109665714
angra dos reis,2011,16,61.5685415714
angra dos reis,2011,17,71.095383
angra dos reis,2011,18,67.0597394286
angra dos reis,2011,19,66.5589985714
angra dos reis,2011,20,69.2233774286
angra dos reis,2011,21,62.6917208571
angra dos reis,2011,22,65.5649357143
angra dos reis,2011,23,69.7603894286
angra dos reis,2011,24,65.5956708571
angra dos reis,2011,25,66.1038957143
angra dos reis,2011,26,68.1991351429
angra dos reis,2011,27,79.642238
angra dos reis,2011,28,49.7905985
angra dos reis,2011,29,66.9657997143
angra dos reis,2011,30,54.2012994286
angra dos reis,2011,31,61.4501337143
angra dos reis,2011,32,60.0430412857
angra dos reis,2011,33,52.0496748571
angra dos reis,2011,34,72.5124874286
angra dos reis,2011,35,53.0870128571
angra dos reis,2011,36,44.6161617143
angra dos reis,2011,37,69.2129202857
angra dos reis,2011,38,60.1944442857
angra dos reis,2011,39,47.4305332857
angra dos reis,2011,40,52.2637368571
angra dos reis,2011,41,69.879536
angra dos reis,2011,42,68.5550531429
angra dos reis,2011,43,48.9120881429
angra dos reis,2011,44,59.0415541429
angra dos reis,2011,45,51.5478018571
angra dos reis,2011,46,71.4514651429
angra dos reis,2011,47,47.7700551429
angra dos reis,2011,48,59.4910715
angra dos reis,2011,49,72.188513
angra dos reis,2011,50,54.5125
angra dos reis,2011,51,45.915873
angra dos reis,2011,52,66.7500005
angra dos reis,2012,1,55.514486
angra dos reis,2012,2,62.357393
angra dos reis,2012,3,65.2362638571
angra dos reis,2012,4,60.3626371429
angra dos reis,2012,5,50.8859235714
angra dos reis,2012,6,43.4940475714
angra dos reis,2012,7,56.778911
angra dos reis,2012,8,51.4584248571
angra dos reis,2012,9,43.7609891429
angra dos reis,2012,10,48.3336385714
angra dos reis,2012,11,63.5940754286
angra dos reis,2012,12,57.0805325714
angra dos reis,2012,13,61.9585651429
angra dos reis,2012,14,54.31019
angra dos reis,2012,15,53.5516234286
angra dos reis,2012,16,60.047836
angra dos reis,2012,17,60.8858997143
angra dos reis,2012,18,63.076624
angra dos reis,2012,19,55.7313851429
angra dos reis,2012,20,63.0887451429
angra dos reis,2012,21,60.4645531429
angra dos reis,2012,22,60.3000292857
angra dos reis,2012,23,65.9643691429
angra dos reis,2012,24,63.9735817143
angra dos reis,2012,25,62.524676
angra dos reis,2012,26,59.6184307143
angra dos reis,2012,27,52.2946968333
angra dos reis,2012,28,58.3320344286
angra dos reis,2012,29,60.3885288571
angra dos reis,2012,30,49.5030428571
angra dos reis,2012,31,50.6389605714
angra dos reis,2012,32,48.1226548571
angra dos reis,2012,33,46.1571434286
angra dos reis,2012,34,40.4870131429
angra dos reis,2012,35,47.3487952857
angra dos reis,2012,36,41.6718068571
angra dos reis,2012,37,48.0016338571
angra dos reis,2012,38,42.3452377143
angra dos reis,2012,39,49.0988358571
angra dos reis,2012,40,38.501962
angra dos reis,2012,41,46.3131862857
angra dos reis,2012,42,51.944889
angra dos reis,2012,43,52.2571428571
angra dos reis,2012,44,45.555403
angra dos reis,2012,45,56.1428561429
angra dos reis,2012,46,62.3321134286
angra dos reis,2012,47,49.1098895714
angra dos reis,2012,48,57.9516491429
angra dos reis,2012,49,59.2836724286
angra dos reis,2012,50,70.833336
angra dos reis,2012,51,0.0
angra dos reis,2012,52,0.0
angra dos reis,2013,1,0.0
angra dos reis,2013,2,73.09123
angra dos reis,2013,3,79.3113548571
angra dos reis,2013,4,69.8042132857
angra dos reis,2013,5,82.1455797143
angra dos reis,2013,6,83.8674214286
angra dos reis,2013,7,72.4401062857
angra dos reis,2013,8,63.1268321429
angra dos reis,2013,9,77.2188477143
angra dos reis,2013,10,65.853437
angra dos reis,2013,11,70.772388
angra dos reis,2013,12,83.2863951429
angra dos reis,2013,13,73.85983
angra dos reis,2013,14,76.6400631429
angra dos reis,2013,15,73.5221428571
