municipio,year,week,population
angra dos reis,2010,1,207044
aperibe,2010,1,11901
araruama,2010,1,134293
areal,2010,1,12669
armacao dos buzios,2010,1,34477
arraial do cabo,2010,1,30593
barra do pirai,2010,1,100764
barra mansa,2010,1,184833
belford roxo,2010,1,513118
bom jardim,2010,1,41822
bom jesus do itabapoana,2010,1,37203
cabo frio,2010,1,230378
cachoeiras de macacu,2010,1,59303
cambuci,2010,1,15514
carapebus,2010,1,16586
comendador levy gasparian,2010,1,8576
campos dos goytacazes,2010,1,511168
cantagalo,2010,1,4551
cardoso moreira,2010,1,12821
carmo,2010,1,19030
casimiro de abreu,2010,1,45041
conceicao de macabu,2010,1,23398
cordeiro,2010,1,22041
duas barras,2010,1,11528
duque de caxias,2010,1,924624
engenheiro paulo de frontin,2010,1,14071
guapimirim,2010,1,61388
iguaba grande,2010,1,28837
itaborai,2010,1,242543
itaguai,2010,1,134819
italva,2010,1,15299
itaocara,2010,1,23222
itaperuna,2010,1,103800
itatiaia,2010,1,32064
japeri,2010,1,105548
laje do muriae,2010,1,7326
macae,2010,1,261501
macuco,2010,1,5623
mage,2010,1,246433
mangaratiba,2010,1,45220
marica,2010,1,164504
mendes,2010,1,18648
mesquita,2010,1,5546
miguel pereira,2010,1,25581
miracema,2010,1,27154
natividade,2010,1,9250
nilopolis,2010,1,162693
niteroi,2010,1,515317
nova friburgo,2010,1,191158
nova iguacu,2010,1,823302
paracambi,2010,1,52683
paraiba do sul,2010,1,44518
paraty,2010,1,43680
paty do alferes,2010,1,27858
petropolis,2010,1,306678
pinheiral,2010,1,25364
pirai,2010,1,29545
porciuncula,2010,1,18960
porto real,2010,1,19974
quatis,2010,1,14435
queimados,2010,1,151335
quissama,2010,1,25126
resende,2010,1,132312
rio bonito,2010,1,60573
rio claro,2010,1,18605
rio das flores,2010,1,9344
rio das ostras,2010,1,155193
rio de janeiro,2010,1,6747815
santa maria madalena,2010,1,10392
santo antonio de padua,2010,1,42594
sao francisco de itabapoana,2010,1,42210
sao fidelis,2010,1,38710
sao goncalo,2010,1,1091737
sao joao da barra,2010,1,36423
sao joao de meriti,2010,1,472906
sao jose de uba,2010,1,7206
sao jose do vale do rio preto,2010,1,21916
sao pedro da aldeia,2010,1,106049
sao sebastiao do alto,2010,1,9387
sapucaia,2010,1,6009
saquarema,2010,1,90583
seropedica,2010,1,83092
silva jardim,2010,1,21774
sumidouro,2010,1,15667
tangua,2010,1,34610
teresopolis,2010,1,184240
trajano de moraes,2010,1,10640
tres rios,2010,1,82142
valenca,2010,1,97233
varre-sai,2010,1,11106
vassouras,2010,1,37083
volta redonda,2010,1,273988
angra dos reis,2010,2,207044
aperibe,2010,2,11901
araruama,2010,2,134293
areal,2010,2,12669
armacao dos buzios,2010,2,34477
arraial do cabo,2010,2,30593
barra do pirai,2010,2,100764
barra mansa,2010,2,184833
belford roxo,2010,2,513118
bom jardim,2010,2,41822
bom jesus do itabapoana,2010,2,37203
cabo frio,2010,2,230378
cachoeiras de macacu,2010,2,59303
cambuci,2010,2,15514
carapebus,2010,2,16586
comendador levy gasparian,2010,2,8576
campos dos goytacazes,2010,2,511168
cantagalo,2010,2,4551
cardoso moreira,2010,2,12821
carmo,2010,2,19030
casimiro de abreu,2010,2,45041
conceicao de macabu,2010,2,23398
cordeiro,2010,2,22041
duas barras,2010,2,11528
duque de caxias,2010,2,924624
engenheiro paulo de frontin,2010,2,14071
guapimirim,2010,2,61388
iguaba grande,2010,2,28837
itaborai,2010,2,242543
itaguai,2010,2,134819
italva,2010,2,15299
itaocara,2010,2,23222
itaperuna,2010,2,103800
itatiaia,2010,2,32064
japeri,2010,2,105548
laje do muriae,2010,2,7326
macae,2010,2,261501
macuco,2010,2,5623
mage,2010,2,246433
mangaratiba,2010,2,45220
marica,2010,2,164504
mendes,2010,2,18648
mesquita,2010,2,5546
miguel pereira,2010,2,25581
miracema,2010,2,27154
natividade,2010,2,9250
nilopolis,2010,2,162693
niteroi,2010,2,515317
nova friburgo,2010,2,191158
nova iguacu,2010,2,823302
paracambi,2010,2,52683
paraiba do sul,2010,2,44518
paraty,2010,2,43680
paty do alferes,2010,2,27858
petropolis,2010,2,306678
pinheiral,2010,2,25364
pirai,2010,2,29545
porciuncula,2010,2,18960
porto real,2010,2,19974
quatis,2010,2,14435
queimados,2010,2,151335
quissama,2010,2,25126
resende,2010,2,132312
rio bonito,2010,2,60573
rio claro,2010,2,18605
rio das flores,2010,2,9344
rio das ostras,2010,2,155193
rio de janeiro,2010,2,6747815
santa maria madalena,2010,2,10392
santo antonio de padua,2010,2,42594
sao francisco de itabapoana,2010,2,42210
sao fidelis,2010,2,38710
sao goncalo,2010,2,1091737
sao joao da barra,2010,2,36423
sao joao de meriti,2010,2,472906
sao jose de uba,2010,2,7206
sao jose do vale do rio preto,2010,2,21916
sao pedro da aldeia,2010,2,106049
