municipio,year,week,rainfall
angra dos reis,2010,1,66.355681
angra dos reis,2010,2,70.15296399999998
angra dos reis,2010,3,72.5633344
angra dos reis,2010,4,63.74666760000001
angra dos reis,2010,5,57.978151
angra dos reis,2010,6,62.57419900000002
angra dos reis,2010,7,62.49308700000002
angra dos reis,2010,8,41.32419900000001
angra dos reis,2010,9,74.01617299999998
angra dos reis,2010,10,59.015679
angra dos reis,2010,11,58.4385186
angra dos reis,2010,12,69.3466662
angra dos reis,2010,13,40.8661732
angra dos reis,2010,14,35.786543800000004
angra dos reis,2010,15,29.450986599999997
angra dos reis,2010,16,29.392962599999997
angra dos reis,2010,17,26.9912346
angra dos reis,2010,18,21.0449386
angra dos reis,2010,19,20.9990122
angra dos reis,2010,20,19.7095061
angra dos reis,2010,21,18.000370500000002
angra dos reis,2010,22,14.3525928
angra dos reis,2010,23,13.5587654
angra dos reis,2010,24,9.3108638
angra dos reis,2010,25,13.1280254
angra dos reis,2010,26,11.674197799999998
angra dos reis,2010,27,10.9509875
angra dos reis,2010,28,13.153949900000002
angra dos reis,2010,29,15.6360494
angra dos reis,2010,30,13.6703706
angra dos reis,2010,31,12.548148200000002
angra dos reis,2010,32,11.1395062
angra dos reis,2010,33,11.502963
angra dos reis,2010,34,13.820247
angra dos reis,2010,35,18.0416045
angra dos reis,2010,36,22.695184899999997
angra dos reis,2010,37,23.1976549
angra dos reis,2010,38,31.959135099999997
angra dos reis,2010,39,35.359381600000006
angra dos reis,2010,40,37.946048000000005
angra dos reis,2010,41,36.113952
angra dos reis,2010,42,40.313952
angra dos reis,2010,43,37.254816
angra dos reis,2010,44,45.871602
angra dos reis,2010,45,50.584197999999994
angra dos reis,2010,46,53.703953
angra dos reis,2010,47,51.215801000000006
angra dos reis,2010,48,53.438025999999994
angra dos reis,2010,49,54.607656000000006
angra dos reis,2010,50,55.309506000000006
angra dos reis,2010,51,60.997656000000006
angra dos reis,2010,52,35.397532
angra dos reis,2011,1,66.355681
angra dos reis,2011,2,69.61049499999999
angra dos reis,2011,3,71.96074180000001
angra dos reis,2011,4,74.37111220000001
angra dos reis,2011,5,49.695558
angra dos reis,2011,6,61.42518700000001
angra dos reis,2011,7,66.02123500000002
angra dos reis,2011,8,41.32419900000001
angra dos reis,2011,9,71.03259299999999
angra dos reis,2011,10,59.814074
angra dos reis,2011,11,56.620494
angra dos reis,2011,12,69.3466662
angra dos reis,2011,13,45.5096298
angra dos reis,2011,14,36.84247
angra dos reis,2011,15,29.450986599999997
angra dos reis,2011,16,29.4045674
angra dos reis,2011,17,28.180493799999997
angra dos reis,2011,18,21.0449386
angra dos reis,2011,19,21.0066666
angra dos reis,2011,20,20.13679
angra dos reis,2011,21,18.000370500000002
angra dos reis,2011,22,14.5319755
angra dos reis,2011,23,14.6207408
angra dos reis,2011,24,9.3108638
angra dos reis,2011,25,12.5827166
angra dos reis,2011,26,12.0376547
angra dos reis,2011,27,10.5838271
angra dos reis,2011,28,13.153949900000002
angra dos reis,2011,29,15.139629500000002
angra dos reis,2011,30,14.2533336
angra dos reis,2011,31,12.548148200000002
angra dos reis,2011,32,11.421234600000002
angra dos reis,2011,33,11.0395062
angra dos reis,2011,34,13.820247
angra dos reis,2011,35,16.8024688
angra dos reis,2011,36,22.594690899999996
angra dos reis,2011,37,23.1976549
angra dos reis,2011,38,30.4988884
angra dos reis,2011,39,34.712715
angra dos reis,2011,40,37.946048000000005
angra dos reis,2011,41,36.37568
angra dos reis,2011,42,39.263952
angra dos reis,2011,43,43.463952
angra dos reis,2011,44,39.318516
angra dos reis,2011,45,49.406049
angra dos reis,2011,46,54.118644999999994
angra dos reis,2011,47,51.215801000000006
angra dos reis,2011,48,52.993581
angra dos reis,2011,49,54.467286
angra dos reis,2011,50,55.309506000000006
angra dos reis,2011,51,60.049631000000005
angra dos reis,2011,52,63.20568100000001
angra dos reis,2012,1,66.355681
angra dos reis,2012,2,69.06802599999999
angra dos reis,2012,3,71.3581492
angra dos reis,2012,4,74.37111220000001
angra dos reis,2012,5,52.0374096
angra dos reis,2012,6,60.27617500000001
angra dos reis,2012,7,66.02123500000002
angra dos reis,2012,8,44.85234700000001
angra dos reis,2012,9,59.161976
angra dos reis,2012,10,61.410864
angra dos reis,2012,11,56.620494
angra dos reis,2012,12,65.710617
angra dos reis,2012,13,54.796543
angra dos reis,2012,14,36.84247
angra dos reis,2012,15,31.562838999999997
angra dos reis,2012,16,29.427777
angra dos reis,2012,17,29.369752999999996
angra dos reis,2012,18,22.2341978
angra dos reis,2012,19,21.0219754
angra dos reis,2012,20,20.9913578
angra dos reis,2012,21,18.000370500000002
angra dos reis,2012,22,14.8907409
angra dos reis,2012,23,16.7446916
angra dos reis,2012,24,9.3108638
angra dos reis,2012,25,11.492099
angra dos reis,2012,26,12.7645685
angra dos reis,2012,27,10.5838271
angra dos reis,2012,28,12.419629100000002
angra dos reis,2012,29,14.1467897
angra dos reis,2012,30,16.6288892
angra dos reis,2012,31,11.3385186
angra dos reis,2012,32,11.9846914
angra dos reis,2012,33,10.5760494
angra dos reis,2012,34,13.3567902
angra dos reis,2012,35,14.3241974
angra dos reis,2012,36,22.494196899999995
angra dos reis,2012,37,23.0971609
angra dos reis,2012,38,27.578395
angra dos reis,2012,39,33.4193818
angra dos reis,2012,40,37.946048000000005
angra dos reis,2012,41,36.899136
angra dos reis,2012,42,37.163952
angra dos reis,2012,43,43.463952
angra dos reis,2012,44,38.630616
angra dos reis,2012,45,47.049751
angra dos reis,2012,46,54.118644999999994
angra dos reis,2012,47,52.045185
angra dos reis,2012,48,52.104690999999995
angra dos reis,2012,49,54.326916
angra dos reis,2012,50,55.16913600000001
angra dos reis,2012,51,58.153581
angra dos reis,2012,52,71.425064
angra dos reis,2013,1,65.725681
angra dos reis,2013,2,67.983088
angra dos reis,2013,3,70.15296399999998
angra dos reis,2013,4,74.37111220000001
angra dos reis,2013,5,56.7211128
angra dos reis,2013,6,57.978151
angra dos reis,2013,7,66.02123500000002
angra dos reis,2013,8,51.90864300000001
angra dos reis,2013,9,62.081853
angra dos reis,2013,10,62.209259
angra dos reis,2013,11,56.620494
angra dos reis,2013,12,63.892592400000005
angra dos reis,2013,13,59.4399996
angra dos reis,2013,14,36.84247
angra dos reis,2013,15,32.6187652
angra dos reis,2013,16,29.4393818
angra dos reis,2013,17,29.369752999999996
angra dos reis,2013,18,23.423457
angra dos reis,2013,19,21.0296298
angra dos reis,2013,20,20.9913578
angra dos reis,2013,21,18.4276544
angra dos reis,2013,22,15.0701236
angra dos reis,2013,23,16.7446916
angra dos reis,2013,24,10.3728392
angra dos reis,2013,25,10.9467902
angra dos reis,2013,26,13.1280254
angra dos reis,2013,27,10.5838271
angra dos reis,2013,28,12.052468700000002
angra dos reis,2013,29,13.650369800000002
angra dos reis,2013,30,16.6288892
angra dos reis,2013,31,11.921481600000002
angra dos reis,2013,32,12.2664198
angra dos reis,2013,33,10.5760494
angra dos reis,2013,34,12.8933334
angra dos reis,2013,35,13.0850617
angra dos reis,2013,36,22.494196899999995
angra dos reis,2013,37,22.996666899999997
angra dos reis,2013,38,26.1181483
angra dos reis,2013,39,33.4193818
