municipio,year,week,temperature
angra dos reis,2010,1,28.1648348571
aperibe,2010,1,29.9699244286
araruama,2010,1,29.2911257143
areal,2010,1,28.7143218571
armacao dos buzios,2010,1,29.52148875
arraial do cabo,2010,1,29.2911257143
barra do pirai,2010,1,28.0663634286
barra mansa,2010,1,29.692297
belford roxo,2010,1,28.7143218571
bom jardim,2010,1,29.52148875
bom jesus do itabapoana,2010,1,29.9699244286
cabo frio,2010,1,29.2911257143
cachoeiras de macacu,2010,1,28.7143218571
cambuci,2010,1,29.9699244286
carapebus,2010,1,29.9699244286
comendador levy gasparian,2010,1,28.7143218571
campos dos goytacazes,2010,1,29.9699244286
cantagalo,2010,1,29.52148875
cardoso moreira,2010,1,29.9699244286
carmo,2010,1,29.52148875
casimiro de abreu,2010,1,29.52148875
conceicao de macabu,2010,1,29.9699244286
cordeiro,2010,1,29.52148875
duas barras,2010,1,29.52148875
duque de caxias,2010,1,28.7143218571
engenheiro paulo de frontin,2010,1,29.692297
guapimirim,2010,1,28.7143218571
iguaba grande,2010,1,29.2911257143
itaborai,2010,1,28.7143218571
itaguai,2010,1,29.692297
italva,2010,1,29.9699244286
itaocara,2010,1,29.9699244286
itaperuna,2010,1,29.9699244286
itatiaia,2010,1,28.1648348571
japeri,2010,1,28.7143218571
laje do muriae,2010,1,29.9699244286
macae,2010,1,29.52148875
macuco,2010,1,29.52148875
mage,2010,1,28.7143218571
mangaratiba,2010,1,28.0663634286
marica,2010,1,28.7143218571
mendes,2010,1,29.692297
mesquita,2010,1,24.3850338571
miguel pereira,2010,1,28.7143218571
miracema,2010,1,29.9699244286
natividade,2010,1,29.9699244286
nilopolis,2010,1,28.7143218571
niteroi,2010,1,28.7143218571
nova friburgo,2010,1,29.52148875
nova iguacu,2010,1,28.7143218571
paracambi,2010,1,29.692297
paraiba do sul,2010,1,28.7143218571
paraty,2010,1,28.1648348571
paty do alferes,2010,1,28.7143218571
petropolis,2010,1,28.7143218571
pinheiral,2010,1,29.692297
pirai,2010,1,29.692297
porciuncula,2010,1,29.9699244286
porto real,2010,1,28.1648348571
quatis,2010,1,28.1648348571
queimados,2010,1,29.692297
quissama,2010,1,29.9699244286
resende,2010,1,28.1648348571
rio bonito,2010,1,28.284043
rio claro,2010,1,29.692297
rio das flores,2010,1,28.7143218571
rio das ostras,2010,1,29.52148875
rio de janeiro,2010,1,28.7143218571
santa maria madalena,2010,1,29.9699244286
santo antonio de padua,2010,1,29.9699244286
sao francisco de itabapoana,2010,1,29.9699244286
sao fidelis,2010,1,29.9699244286
sao goncalo,2010,1,28.7143218571
sao joao da barra,2010,1,29.9699244286
sao joao de meriti,2010,1,28.7143218571
sao jose de uba,2010,1,29.9699244286
sao jose do vale do rio preto,2010,1,28.7143218571
