municipio,zero_rows,first_year,first_week,latest_year,latest_week
valenca,310,2017,21,2023,27
saquarema,42,2017,3,2020,52
silva jardim,42,2017,3,2020,52
araruama,41,2017,3,2020,52
arraial do cabo,41,2017,3,2020,52
cabo frio,41,2017,3,2020,52
iguaba grande,41,2017,3,2020,52
sao pedro da aldeia,41,2017,3,2020,52
seropedica,32,2012,51,2023,16
barra mansa,31,2012,51,2023,16
engenheiro paulo de frontin,31,2012,51,2023,16
itaguai,31,2012,51,2023,16
mendes,31,2012,51,2023,16
paracambi,31,2012,51,2023,16
pinheiral,31,2012,51,2023,16
pirai,31,2012,51,2023,16
queimados,31,2012,51,2023,16
rio claro,31,2012,51,2023,16
mesquita,23,2012,51,2021,40
sumidouro,21,2012,51,2020,52
armacao dos buzios,20,2012,51,2020,52
barra do pirai,20,2012,51,2020,52
bom jardim,20,2012,51,2020,52
cantagalo,20,2012,51,2020,52
carmo,20,2012,51,2020,52
casimiro de abreu,20,2012,51,2020,52
cordeiro,20,2012,51,2020,52
duas barras,20,2012,51,2020,52
macae,20,2012,51,2020,52
macuco,20,2012,51,2020,52
mangaratiba,20,2012,51,2020,52
nova friburgo,20,2012,51,2020,52
rio das ostras,20,2012,51,2020,52
trajano de moraes,20,2012,51,2020,52
volta redonda,20,2012,51,2020,52
angra dos reis,17,2012,51,2020,52
itatiaia,17,2012,51,2020,52
paraty,17,2012,51,2020,52
porto real,17,2012,51,2020,52
quatis,17,2012,51,2020,52
resende,17,2012,51,2020,52
aperibe,16,2017,37,2020,52
bom jesus do itabapoana,16,2017,37,2020,52
cambuci,16,2017,37,2020,52
campos dos goytacazes,16,2017,37,2020,52
carapebus,16,2017,37,2020,52
cardoso moreira,16,2017,37,2020,52
conceicao de macabu,16,2017,37,2020,52
italva,16,2017,37,2020,52
itaocara,16,2017,37,2020,52
itaperuna,16,2017,37,2020,52
laje do muriae,16,2017,37,2020,52
miracema,16,2017,37,2020,52
natividade,16,2017,37,2020,52
porciuncula,16,2017,37,2020,52
quissama,16,2017,37,2020,52
santa maria madalena,16,2017,37,2020,52
santo antonio de padua,16,2017,37,2020,52
sao fidelis,16,2017,37,2020,52
sao francisco de itabapoana,16,2017,37,2020,52
sao joao da barra,16,2017,37,2020,52
sao jose de uba,16,2017,37,2020,52
sao sebastiao do alto,16,2017,37,2020,52
varre-sai,16,2017,37,2020,52
areal,13,2017,37,2020,52
belford roxo,13,2017,37,2020,52
cachoeiras de macacu,13,2017,37,2020,52
comendador levy gasparian,13,2017,37,2020,52
duque de caxias,13,2017,37,2020,52
guapimirim,13,2017,37,2020,52
itaborai,13,2017,37,2020,52
japeri,13,2017,37,2020,52
mage,13,2017,37,2020,52
marica,13,2017,37,2020,52
miguel pereira,13,2017,37,2020,52
nilopolis,13,2017,37,2020,52
niteroi,13,2017,37,2020,52
nova iguacu,13,2017,37,2020,52
paraiba do sul,13,2017,37,2020,52
paty do alferes,13,2017,37,2020,52
petropolis,13,2017,37,2020,52
rio bonito,13,2017,37,2020,52
rio das flores,13,2017,37,2020,52
rio de janeiro,13,2017,37,2020,52
sao goncalo,13,2017,37,2020,52
sao joao de meriti,13,2017,37,2020,52
sao jose do vale do rio preto,13,2017,37,2020,52
sapucaia,13,2017,37,2020,52
tangua,13,2017,37,2020,52
teresopolis,13,2017,37,2020,52
tres rios,13,2017,37,2020,52
vassouras,13,2017,37,2020,52
